# AR,core_r,cool_r,PD,power,enrich,keff,ave_E,mass,q_dens
   1.00000,  49.23828,   0.60718,   1.35659, 158.57422,   0.53052,   1.17654,   0.71219,2694.91212,   0.42284
   1.00000,  15.72266,   0.79028,   1.58950, 158.10547,   0.34663,   0.50650,   0.83844, 111.51706,  12.94848
   1.00000,  44.19922,   0.69946,   1.45327, 195.95703,   0.89419,   1.45986,   0.84482,2200.13052,   0.72238
   1.00000,  29.31641,   0.71313,   1.33755, 196.42578,   0.34458,   0.70096,   0.72754, 553.51802,   2.48151
   1.00000,  23.88672,   0.89722,   1.41665, 175.68359,   0.80190,   1.00666,   0.89789, 333.91814,   4.10310
   1.00000,  32.83203,   0.62183,   1.46011, 164.55078,   0.45669,   0.95776,   0.72804, 907.46455,   1.47998
   1.00000,  26.34766,   0.84546,   1.13296, 137.59766,   0.74790,   0.67212,   0.92181, 237.04478,   2.39461
   1.00000,  11.34766,   0.53296,   1.44546, 182.59766,   0.31040,   0.27936,   0.96646,  36.84489,  39.77648
   1.00000,  47.91016,   0.69019,   1.25405,  92.24609,   0.85181,   1.30108,   0.83451,2067.23139,   0.26700
   1.00000,  15.68359,   0.52417,   1.25356,  99.04297,   0.51343,   0.43014,   0.95433,  72.15231,   8.17217
   1.00000,  41.69922,   0.75562,   1.21743, 169.12109,   0.61050,   1.00842,   0.78354,1248.72001,   0.74244
   1.00000,  30.56641,   0.97876,   1.25210, 114.51172,   0.62896,   0.90314,   0.83264, 536.47925,   1.27634
   1.00000,  10.03906,   0.60107,   1.37783, 164.96094,   0.31416,   0.21986,   1.03324,  23.53149,  51.89818
   1.00000,  18.06641,   0.57251,   1.22085, 107.01172,   0.58521,   0.50580,   0.93946, 102.04363,   5.77651
   1.00000,  35.72266,   0.79077,   1.28140, 128.22266,   0.47446,   0.89290,   0.74934, 908.57346,   0.89533
   1.00000,  13.37891,   0.93433,   1.28726,  89.90234,   0.75063,   0.50865,   1.04327,  48.34557,  11.94975
   1.00000,  41.50391,   0.54517,   1.56069, 159.86328,   0.38218,   1.03887,   0.65687,2003.73848,   0.71176
   1.00000,  20.48828,   0.62378,   1.52114, 177.32422,   0.34116,   0.60996,   0.77344, 233.58949,   6.56299
   1.00000,  22.75391,   0.95776,   1.56313, 127.75391,   0.71782,   1.00699,   0.86786, 331.76291,   3.45188
   1.00000,  15.60547,   0.72583,   1.57632, 149.19922,   0.57905,   0.66589,   0.90996, 107.96044,  12.49643
   1.00000,  37.87109,   0.55151,   1.37466, 101.85547,   0.82515,   1.26520,   0.83904,1256.72905,   0.59691
   1.00000,  16.69922,   0.69312,   1.15493, 184.12109,   0.52300,   0.36660,   0.97371,  65.73669,  12.58534
   1.00000,  17.63672,   0.97534,   1.13296, 137.59766,   0.74790,   0.47053,   1.01285,  71.26880,   7.98376
   1.00000,  19.00391,   0.66089,   1.20132, 101.50391,   0.43823,   0.43993,   0.90051, 112.82954,   4.70765
   1.00000,  49.43359,   0.60229,   1.33169, 139.23828,   0.88530,   1.41680,   0.83454,2624.82818,   0.36690
   1.00000,  48.53516,   0.79175,   1.37368, 106.66016,   0.79712,   1.40317,   0.80996,2650.28338,   0.29695
   1.00000,  23.78906,   0.73584,   1.17178, 116.21094,   0.30869,   0.41805,   0.82103, 202.10601,   2.74767
   1.00000,  22.98828,   0.84253,   1.43472, 179.08203,   0.20239,   0.47558,   0.70949, 303.75109,   4.69227
   1.00000,  23.65234,   0.89331,   1.40737, 159.51172,   0.39038,   0.68814,   0.77507, 320.59534,   3.83725
   1.00000,  30.52734,   0.85425,   1.46255, 176.38672,   0.83882,   1.22106,   0.86743, 732.77238,   1.97355
   1.00000,  15.44922,   0.95874,   1.57681,  97.87109,   0.86274,   0.82687,   0.98616, 104.91380,   8.44860
   1.00000,  41.77734,   0.98608,   1.38442, 195.13672,   0.42319,   1.01875,   0.69179,1717.16994,   0.85186
   1.00000,  11.19141,   0.91479,   1.29360,  87.44141,   0.35142,   0.26049,   1.02093,  28.63217,  19.85696
   1.00000,  40.44922,   0.75513,   1.38247,  89.66797,   0.52710,   1.10053,   0.73378,1551.82831,   0.43128
   1.00000,  10.60547,   0.53833,   1.26382, 134.19922,   0.31655,   0.19523,   1.04840,  22.82614,  35.81050
   1.00000,  10.05859,   0.68823,   1.32388, 138.41797,   0.66997,   0.34153,   1.11338,  21.86376,  43.29436
   1.00000,  14.66797,   0.83569,   1.19741, 190.21484,   0.80464,   0.47884,   1.04872,  51.46863,  19.18600
   1.00000,  19.98047,   0.94214,   1.35757, 154.00391,   0.25845,   0.45168,   0.78398, 180.97581,   6.14561
   1.00000,  34.16016,   0.72290,   1.57046,  85.33203,   0.47241,   1.05365,   0.71904,1127.42912,   0.68140
   1.00000,  39.94141,   0.80542,   1.52798, 106.19141,   0.46079,   1.11033,   0.69760,1743.27551,   0.53048
   1.00000,  23.26172,   0.99341,   1.23013, 169.35547,   0.68091,   0.74162,   0.90339, 224.61323,   4.28276
   1.00000,  46.73828,   0.76343,   1.20034,  91.07422,   0.48677,   0.94044,   0.73083,1677.36458,   0.28394
   1.00000,  19.16016,   0.61206,   1.39712,  97.28516,   0.52368,   0.66116,   0.86696, 167.80695,   4.40250
   1.00000,  17.28516,   0.74487,   1.26431, 155.41016,   0.42524,   0.44963,   0.90113,  99.35018,   9.57876
   1.00000,  49.62891,   0.77173,   1.24038, 161.73828,   0.56812,   1.10634,   0.74214,2230.01077,   0.42117
   1.00000,  34.62891,   0.95923,   1.19302, 116.73828,   0.51411,   0.80744,   0.79203, 669.61970,   0.89484
   1.00000,  40.48828,   0.99780,   1.40347, 117.32422,   0.59614,   1.18607,   0.75816,1601.48170,   0.56266
   1.00000,  36.07422,   0.59790,   1.44546, 115.33203,   0.57700,   1.11516,   0.75830,1184.88435,   0.78200
   1.00000,  35.52734,   0.87671,   1.52505, 191.38672,   0.75132,   1.29500,   0.81741,1224.28751,   1.35854
   1.00000,  31.26953,   0.59448,   1.35513,  85.91797,   0.28374,   0.66578,   0.68904, 688.61575,   0.89448
   1.00000,  39.51172,   0.88403,   1.18325, 135.60547,   0.21538,   0.53620,   0.67044, 964.21345,   0.69976
   1.00000,  44.82422,   0.87280,   1.56899, 152.24609,   0.88394,   1.52221,   0.83915,2546.61847,   0.53809
   1.00000,  45.99609,   0.94995,   1.35122, 174.98047,   0.60981,   1.22621,   0.75338,2187.53626,   0.57237
   1.00000,  24.47266,   0.66431,   1.48013, 153.76953,   0.33091,   0.67535,   0.73479, 383.60139,   3.33946
   1.00000,  30.05859,   0.93823,   1.57388, 198.41797,   0.23999,   0.69723,   0.64649, 770.98012,   2.32555
   1.00000,  42.63672,   0.53784,   1.49478, 164.43359,   0.64878,   1.28871,   0.75968,2053.83951,   0.67529
   1.00000,  21.89453,   0.98804,   1.29214, 165.48828,   0.46968,   0.63784,   0.84320, 213.93815,   5.01892
   1.00000,  47.51953,   0.63647,   1.22183, 167.36328,   0.78687,   1.20032,   0.81714,1864.85569,   0.49647
   1.00000,  37.75391,   0.85083,   1.20132, 186.11328,   0.52505,   0.86420,   0.77697, 887.86394,   1.10088
   1.00000,  13.02734,   0.88550,   1.43130,  93.88672,   0.79507,   0.60862,   1.03249,  55.08440,  13.51721
   1.00000,  28.73047,   0.98364,   1.27114, 121.07422,   0.85249,   1.02604,   0.90158, 463.97272,   1.62508
   1.00000,  27.53906,   0.56982,   1.40908, 121.36719,   0.33057,   0.69392,   0.72100, 505.38965,   1.84971
   1.00000,  11.97266,   0.82690,   1.33071, 191.97266,   0.27759,   0.24982,   0.96606,  37.34344,  35.60554
   1.00000,  47.79297,   0.53101,   1.59585,  83.33984,   0.26870,   0.93934,   0.58866,3139.61630,   0.24300
   1.00000,  22.79297,   0.92505,   1.26724, 101.38672,   0.59614,   0.72070,   0.87561, 229.69457,   2.72539
   1.00000,  30.13672,   0.50659,   1.40103,  96.93359,   0.43003,   0.83640,   0.73950, 654.99416,   1.12729
   1.00000,  23.18359,   0.80542,   1.34731, 151.54297,   0.76841,   0.90651,   0.90213, 278.15697,   3.87118
   1.00000,  17.36328,   0.59937,   1.20815, 171.69922,   0.62896,   0.49323,   0.96352,  87.59914,  10.44054
   1.00000,  42.12891,   0.60620,   1.30288, 144.62891,   0.62417,   1.12351,   0.76954,1547.16896,   0.61569
   1.00000,  47.67578,   0.79077,   1.23599,  93.76953,   0.76567,   1.22853,   0.81253,1956.91398,   0.27543
   1.00000,  13.22266,   0.53003,   1.37515, 165.72266,   0.33159,   0.32847,   0.93076,  53.50336,  22.81789
   1.00000,  17.94922,   0.53638,   1.10122, 142.16797,   0.22085,   0.17081,   0.92624,  63.29966,   7.82555
   1.00000,  49.43359,   0.87866,   1.33169, 170.29297,   0.88530,   1.43432,   0.84081,2633.85936,   0.44873
   1.00000,  29.23828,   0.85718,   1.10659, 182.83203,   0.88052,   0.72520,   0.93812, 285.44996,   2.32834
   1.00000,  26.19141,   0.92407,   1.19741,  97.05078,   0.65015,   0.74441,   0.88020, 293.39185,   1.71938
   1.00000,  28.73047,   0.98364,   1.27114, 172.98828,   0.85249,   1.02502,   0.90140, 463.97272,   2.32187
   1.00000,  21.19141,   0.53979,   1.36929, 117.44141,   0.52026,   0.69401,   0.84618, 218.50751,   3.92818
   1.00000,  41.54297,   0.97192,   1.18911, 195.13672,   0.45327,   0.84413,   0.74300,1142.68302,   0.86636
   1.00000,  47.94922,   0.90259,   1.46890, 162.20703,   0.65356,   1.35860,   0.75622,2858.60459,   0.46835
   1.00000,  14.39453,   0.77417,   1.38589, 112.98828,   0.46216,   0.46648,   0.93344,  70.26584,  12.05844
   1.00000,  35.29297,   0.64380,   1.48599, 187.05078,   0.82515,   1.30928,   0.84226,1156.79628,   1.35439
   1.00000,  49.27734,   0.76733,   1.13394, 163.14453,   0.51411,   0.85946,   0.75265,1554.53603,   0.43399
   1.00000,  49.74609,   0.80933,   1.58560, 126.23047,   0.71919,   1.47249,   0.77208,3522.66638,   0.32639
   1.00000,  25.91797,   0.85132,   1.16860, 156.46484,   0.87642,   0.79938,   0.94284, 259.12201,   2.86064
   1.00000,  14.31641,   0.52563,   1.45522,  91.42578,   0.43208,   0.46808,   0.91302,  74.75309,   9.91782
   1.00000,  32.91016,   0.98853,   1.46841, 194.08203,   0.68638,   1.17800,   0.80946, 924.22235,   1.73319
   1.00000,  15.33203,   0.65308,   1.30386, 127.05078,   0.50044,   0.46374,   0.94298,  74.77066,  11.22092
   1.00000,  20.03906,   0.59521,   1.50283,  83.86719,   0.48916,   0.72012,   0.82948, 214.97871,   3.31749
   1.00000,  49.51172,   0.99243,   1.30825, 105.60547,   0.39038,   1.00867,   0.66725,2547.11367,   0.27696
   1.00000,  17.63672,   0.84546,   1.55728, 137.59766,   0.38628,   0.59338,   0.82250, 153.72147,   7.98376
   1.00000,  19.78516,   0.55249,   1.29556, 135.37109,   0.36987,   0.48842,   0.83873, 157.93889,   5.56362
   1.00000,  10.03906,   0.87646,   1.40615, 121.36719,   0.33057,   0.24949,   1.02837,  24.47479,  38.18320
   1.00000,  26.07422,   0.64331,   1.30337, 148.49609,   0.24956,   0.51089,   0.72839, 367.37707,   2.66644
   1.00000,  39.47266,   0.85181,   1.23062, 198.76953,   0.63101,   1.02038,   0.79612,1097.09008,   1.02875
   1.00000,  36.66016,   0.95044,   1.10171, 137.83203,   0.79575,   0.80849,   0.88725, 549.18335,   0.89047
   1.00000,  17.91016,   0.56519,   1.37905, 122.24609,   0.32681,   0.46425,   0.83174, 133.75855,   6.77309
   1.00000,  20.25391,   0.75708,   1.35757, 178.61328,   0.30630,   0.49880,   0.79630, 188.21136,   6.84285
   1.00000,  10.25391,   0.80151,   1.18569, 150.25391,   0.81011,   0.29316,   1.16633,  16.95981,  44.36162
   1.00000,  10.25391,   0.80151,   1.18569, 103.02734,   0.84907,   0.30953,   1.17281,  16.95981,  30.41824
   1.00000,  30.68359,   0.58667,   1.19839, 144.04297,   0.77593,   0.87801,   0.87676, 469.89990,   1.58717
   1.00000,  47.05078,   0.89233,   1.16567, 133.14453,   0.68911,   1.05337,   0.80461,1535.53339,   0.40689
   1.00000,  15.33203,   0.53101,   1.30386, 127.05078,   0.59546,   0.50215,   0.96400,  74.58103,  11.22092
   1.00000,  45.09766,   0.62622,   1.42593, 185.64453,   0.27622,   0.86456,   0.61358,2265.97064,   0.64427
   1.00000,  39.43359,   0.97729,   1.45669, 109.23828,   0.71030,   1.29224,   0.79703,1571.02216,   0.56706
   1.00000,  27.75391,   0.61304,   1.25063, 155.52734,   0.32886,   0.57740,   0.75739, 398.16798,   2.31571
   1.00000,  19.90234,   0.56519,   1.57925, 163.26172,   0.80601,   0.96044,   0.91462, 224.11688,   6.59207
   1.00000,  33.84766,   0.82935,   1.17544,  99.98047,   0.83882,   0.96302,   0.88893, 590.45914,   0.82069
   1.00000,  10.03906,   0.60107,   1.37783, 113.86719,   0.81182,   0.41760,   1.12693,  23.53149,  35.82363
   1.00000,  25.09766,   0.95972,   1.22915, 148.84766,   0.59478,   0.73190,   0.86501, 281.32672,   2.99704
   1.00000,  11.07422,   0.60669,   1.39028, 185.29297,   0.55991,   0.37214,   1.04159,  32.11528,  43.42798
